,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000032338,ENSMUSG00000032338,Hcn4,7,FALSE
ENSMUSG00000032340,ENSMUSG00000032340,Neo1,11682,FALSE
ENSMUSG00000025236,ENSMUSG00000025236,Adpgk,13663,FALSE
ENSMUSG00000025235,ENSMUSG00000025235,Bbs4,3200,FALSE
ENSMUSG00000025234,ENSMUSG00000025234,Arih1,20652,FALSE
ENSMUSG00000049526,ENSMUSG00000049526,Tmem202,574,FALSE
ENSMUSG00000025232,ENSMUSG00000025232,Hexa,31405,FALSE
ENSMUSG00000032297,ENSMUSG00000032297,Celf6,31,FALSE
ENSMUSG00000025237,ENSMUSG00000025237,Parp6,5397,FALSE
ENSMUSG00000032294,ENSMUSG00000032294,Pkm,33006,TRUE
ENSMUSG00000074259,ENSMUSG00000074259,Gramd2,592,FALSE
ENSMUSG00000051705,ENSMUSG00000051705,Senp8,3383,FALSE
ENSMUSG00000039585,ENSMUSG00000039585,Myo9a,7594,FALSE
ENSMUSG00000032292,ENSMUSG00000032292,Nr2e3,144,FALSE
ENSMUSG00000084913,ENSMUSG00000084913,Gm7616,0,FALSE
ENSMUSG00000032289,ENSMUSG00000032289,Thsd4,2953,FALSE
ENSMUSG00000047766,ENSMUSG00000047766,Lrrc49,2205,FALSE
ENSMUSG00000097734,ENSMUSG00000097734,B930082K07Rik,207,FALSE
ENSMUSG00000034839,ENSMUSG00000034839,Larp6,1587,FALSE
ENSMUSG00000095956,ENSMUSG00000095956,1700036A12Rik,21,FALSE
ENSMUSG00000034485,ENSMUSG00000034485,Uaca,9128,FALSE
ENSMUSG00000052143,ENSMUSG00000052143,Gm9869,2,FALSE
ENSMUSG00000074256,ENSMUSG00000074256,Gm10655,95,FALSE
ENSMUSG00000032280,ENSMUSG00000032280,Tle3,21024,FALSE
ENSMUSG00000007892,ENSMUSG00000007892,Rplp1,36188,FALSE
ENSMUSG00000032254,ENSMUSG00000032254,Kif23,6720,FALSE
ENSMUSG00000032278,ENSMUSG00000032278,Paqr5,1865,FALSE
ENSMUSG00000032252,ENSMUSG00000032252,Glce,9670,FALSE
ENSMUSG00000046846,ENSMUSG00000046846,Spesp1,153,FALSE
ENSMUSG00000032249,ENSMUSG00000032249,Anp32a,27011,FALSE
ENSMUSG00000041729,ENSMUSG00000041729,Coro2b,1697,FALSE
ENSMUSG00000032243,ENSMUSG00000032243,Itga11,817,FALSE
ENSMUSG00000032244,ENSMUSG00000032244,Fem1b,24085,TRUE
ENSMUSG00000097672,ENSMUSG00000097672,Gm26609,2897,FALSE
ENSMUSG00000032245,ENSMUSG00000032245,Cln6,20491,FALSE
ENSMUSG00000032246,ENSMUSG00000032246,Calml4,1944,FALSE
ENSMUSG00000032405,ENSMUSG00000032405,Pias1,10476,FALSE
ENSMUSG00000022245,ENSMUSG00000022245,Skor1,46,FALSE
ENSMUSG00000058444,ENSMUSG00000058444,Map2k5,10597,FALSE
ENSMUSG00000032403,ENSMUSG00000032403,2300009A05Rik,16398,FALSE
ENSMUSG00000037801,ENSMUSG00000037801,Iqch,66,FALSE
ENSMUSG00000037257,ENSMUSG00000037257,Aagab,6667,FALSE
ENSMUSG00000032402,ENSMUSG00000032402,Smad3,6562,FALSE
ENSMUSG00000036867,ENSMUSG00000036867,Smad6,4299,FALSE
ENSMUSG00000097036,ENSMUSG00000097036,1110036E04Rik,1,FALSE
ENSMUSG00000032401,ENSMUSG00000032401,Lctl,185,FALSE
ENSMUSG00000032400,ENSMUSG00000032400,Zwilch,7366,FALSE
ENSMUSG00000032399,ENSMUSG00000032399,Rpl4,36166,TRUE
ENSMUSG00000032398,ENSMUSG00000032398,Snapc5,19429,FALSE
ENSMUSG00000004936,ENSMUSG00000004936,Map2k1,23340,FALSE
ENSMUSG00000035337,ENSMUSG00000035337,Uchl4,2204,FALSE
ENSMUSG00000032397,ENSMUSG00000032397,Tipin,24060,FALSE
ENSMUSG00000032396,ENSMUSG00000032396,Dis3l,3685,FALSE
ENSMUSG00000036466,ENSMUSG00000036466,Megf11,2821,FALSE
ENSMUSG00000004771,ENSMUSG00000004771,Rab11a,33284,FALSE
ENSMUSG00000053641,ENSMUSG00000053641,Dennd4a,2520,FALSE
ENSMUSG00000034452,ENSMUSG00000034452,Slc24a1,163,FALSE
ENSMUSG00000034263,ENSMUSG00000034263,Vwa9,12925,FALSE
ENSMUSG00000033629,ENSMUSG00000033629,Hacd3,13465,FALSE
ENSMUSG00000032393,ENSMUSG00000032393,Dpp8,9706,FALSE
ENSMUSG00000032816,ENSMUSG00000032816,Igdcc4,3839,FALSE
ENSMUSG00000032394,ENSMUSG00000032394,Igdcc3,1519,FALSE
